Nombre,Marca,Precio Lista,Precio Online,Precio Oh
Smartphone Galaxy S21,Samsung,3999.9,3799.9,3599.9
Laptop MacBook Air M1,Apple,5999.9,5799.9,5499.9
Televisor OLED 55',LG,5999.9,5899.9,5599.9
Smartwatch Versa 3,Fitbit,1299.9,1199.9,1099.9
Tablet Galaxy Tab S7,Samsung,2999.9,2899.9,2699.9
Cámara Reflex D5600,Nikon,3299.9,3099.9,2899.9
Consola PS5,Sony,3499.9,3399.9,3299.9
Auriculares WH-1000XM4,Sony,1399.9,1299.9,1199.9
Monitor Gaming 27',Acer,1999.9,1899.9,1799.9
Impresora Multifuncional,HP,899.9,799.9,699.9
Mouse Inalámbrico MX,Logitech,299.9,279.9,259.9
Teclado Mecánico RGB,Corsair,499.9,479.9,449.9
Parlante Bluetooth,JBL,699.9,679.9,649.9
Laptop IdeaPad 3,Lenovo,2699.9,2599.9,2399.9
Smart TV 43',Hisense,1699.9,1599.9,1499.9
Tablet iPad 10.2',Apple,2499.9,2399.9,2299.9
Router WiFi 6,TP-Link,499.9,479.9,459.9
Disco Duro Externo 1TB,Seagate,309.9,279.9,259.9
Laptop Gaming ROG,Asus,5999.9,5799.9,5699.9
Smartphone iPhone 13,Apple,4799.9,4699.9,4499.9
